Weight;AD(Andorra);AE(United Arab Emirates);AF(Afghanistan);AG(Antigua and Barbuda);AI(Anguilla);AL(Albania);AM(Armenia);AO(Angola);AR(Argentina);AS(American Samoa);AT(Austria);AU(Australia);AW(Aruba);AZ(Azerbaijan);BA(Bosnia and Herzegovina);BB(Barbados);BD(Bangladesh);BE(Belgium);BF(Burkina Faso);BG(Bulgaria);BH(Bahrain);BI(Burundi);BJ(Benin);BL(Saint Barthelemy);BM(Bermuda);BN(Brunei);BO(Bolivia);BR(Brazil);BS(Bahamas);BT(Bhutan);BW(Botswana);BY(Belarus);BZ(Belize);CA(Canada);CD(Congo, Dem. Republic);CF(Central African Republic);CG(Congo, Republic);CH(Switzerland);CI(Ivory Coast);CK(Cook Islands);CL(Chile);CM(Cameroon);CN(China);CO(Colombia);CR(Costa Rica);CU(Cuba);CV(Cape Verde);CY(Cyprus);CZ(Czech Republic);DE(Germany);DJ(Djibouti);DK(Denmark);DM(Dominica);DO(Dominican Republic);DZ(Algeria);EC(Ecuador);EE(Estonia);EG(Egypt);ER(Eritrea);ES(Spain);ET(Ethiopia);FI(Finland);FJ(Fiji);FM(Micronesia);FO(Faroe Islands);FR(France);GA(Gabon);GB(United Kingdom);GD(Grenada);GE(Georgia);GF(French Guiana);GG(Guernsey);GH(Ghana);GI(Gibraltar);GL(Greenland);GM(Gambia);GN(Guinea);GP(Guadeloupe);GQ(Equatorial Guinea);GR(Greece);GT(Guatemala);GU(Guam);GW(Guinea-Bissau);GY(Guyana);HK(HongKong);HN(Honduras);HR(Croatia);HT(Haiti);HU(Hungary);ID(Indonesia);IE(Ireland);IL(Israel);IN(India);IQ(Iraq);IR(Iran);IS(Iceland);IT(Italy);JE(Jersey);JM(Jamaica);JO(Jordan);JP(Japan);KE(Kenya);KG(Kyrgyzstan);KH(Cambodia);KI(Kiribati);KM(Comoros);KR(South Korea);KW(Kuwait);KY(Cayman Islands);KZ(Kazakhstan);LA(Laos);LB(Lebanon);LC(Saint Lucia);LI(Liechtenstein);LK(Sri Lanka);LR(Liberia);LS(Lesotho);LT(Lithuania);LU(Luxemburg);LV(Latvia);LY(Libya);MA(Morocco);MC(Monaco);MD(Moldova);ME(Montenegro);MF(Saint Martin);MG(Madagascar);MH(Marshall Islands);MK(Macedonia);ML(Mali);MM(Burma (Myanmar));MN(Mongolia);MO(Macau);MP(Northern Mariana Islands);MQ(Martinique);MR(Mauritania);MS(Montserrat);MT(Malta);MU(Mauritius);MV(Maldives);MW(Malawi);MX(Mexico);MY(Malaysia);MZ(Mozambique);NA(Namibia);NC(New Caledonia);NE(Niger);NG(Nigeria);NI(Nicaragua);NL(Netherlands);NO(Norway);NP(Nepal);NR(Nauru);NU(Niue);NZ(New Zealand);OM(Oman);PA(Panama);PE(Peru);PF(French Polynesia);PG(Papua New Guinea);PH(Philippines);PK(Pakistan);PL(Poland);PR(Puerto Rico);PS(Palestinian Territories);PT(Portugal);PW(Palau);PY(Paraguay);QA(Qatar);RE(Reunion Island);RO(Romania);RS(Serbia);RU(Russian Federation);RW(Rwanda);SA(Saudi Arabia);SB(Solomon Islands);SC(Seychelles);SD(Sudan);SE(Sweden);SG(Singapore);SI(Slovenia);SK(Slovakia);SL(Sierra Leone);SM(San Marino);SN(Senegal);SO(Somalia);SR(Suriname);ST(São Tomé and Príncipe);SV(El Salvador);SY(Syria);SZ(Swaziland);TC(Turks and Caicos Islands);TD(Chad);TG(Togo);TH(Thailand);TJ(Tajikistan);TL(East Timor);TM(Turkmenistan);TN(Tunisia);TO(Tonga);TR(Turkey);TT(Trinidad and Tobago);TV(Tuvalu);TW(Taiwan);TZ(Tanzania);UA(Ukraine);UG(Uganda);US(United States);UY(Uruguay);UZ(Uzbekistan);VC(Saint Vincent and the Grenadines);VE(Venezuela);VG(Virgin Islands (British));VI(Virgin Islands (U.S.));VN(Vietnam);VU(Vanuatu);WF(Wallis and Futuna);WS(Samoa);YE(Yemen);YT(Mayotte);ZA(South Africa);ZM(Zambia);ZW(Zimbabwe) 
246;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1117.6;1823.44;2554.43;1823.44;172.2;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;170.48;128.66;2854.59;172.2;1640.31;1640.31;1823.44;1640.31;204.06;1823.44;1823.44;83.57;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;586.88;1823.44;80.63;1117.6;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;214.02;1640.31;184.5;1640.31;174.66;1823.44;1640.31;1823.44;1823.44;206.78;128.66;142.68;1640.31;1823.44;1640.31;1823.44;1823.44;2854.59;1823.44;2854.59;1640.31;1823.44;1640.31;1566;1823.44;1823.44;1823.44;173.06;1640.31;1823.44;1823.44;210.3;125.46;204.06;1823.44;216.55;162.36;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1823.44;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1117.6;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;169.74;1117.6;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1566;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;184.5;184.5;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2854.59;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2854.59;797.8;1640.31;1566;1823.44;1640.31;1640.31;1640.31;1640.31;2854.59;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
247;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1122;1823.44;2563.1;1823.44;172.9;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;171.17;128.66;2864.22;172.9;1640.31;1640.31;1823.44;1640.31;204.89;1823.44;1823.44;83.91;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;588.83;1823.44;80.63;1122;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;214.89;1640.31;185.25;1640.31;175.37;1823.44;1640.31;1823.44;1823.44;206.78;128.66;143.26;1640.31;1823.44;1640.31;1823.44;1823.44;2864.22;1823.44;2864.22;1640.31;1823.44;1640.31;1572.2;1823.44;1823.44;1823.44;173.76;1640.31;1823.44;1823.44;210.3;125.97;204.89;1823.44;216.55;163.02;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1823.44;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1122;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;170.43;1122;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1572.2;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;185.25;185.25;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2864.22;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2864.22;800.9;1640.31;1572.2;1823.44;1640.31;1640.31;1640.31;1640.31;2864.22;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
248;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1126.4;1823.44;2571.78;1823.44;173.6;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;171.86;128.66;2873.84;173.6;1640.31;1640.31;1823.44;1640.31;205.72;1823.44;1823.44;84.25;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;590.77;1823.44;80.63;1126.4;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;215.76;1640.31;186;1640.31;176.08;1823.44;1640.31;1823.44;1823.44;206.78;128.66;143.84;1640.31;1823.44;1640.31;1823.44;1823.44;2873.84;1823.44;2873.84;1640.31;1823.44;1640.31;1578.4;1823.44;1823.44;1823.44;174.47;1640.31;1823.44;1823.44;210.3;126.48;205.72;1823.44;216.55;163.68;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1823.44;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1126.4;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;171.12;1126.4;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1578.4;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;186;186;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2873.84;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2873.84;804;1640.31;1578.4;1823.44;1640.31;1640.31;1640.31;1640.31;2873.84;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
249;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1130.8;1823.44;2580.45;1823.44;174.3;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;172.56;128.66;2883.47;174.3;1640.31;1640.31;1823.44;1640.31;206.55;1823.44;1823.44;84.59;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;592.72;1823.44;80.63;1130.8;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;216.55;1640.31;186.75;1640.31;176.79;1823.44;1640.31;1823.44;1823.44;206.78;128.66;144.42;1640.31;1823.44;1640.31;1823.44;1823.44;2883.47;1823.44;2883.47;1640.31;1823.44;1640.31;1584.6;1823.44;1823.44;1823.44;175.17;1640.31;1823.44;1823.44;210.3;126.99;206.55;1823.44;216.55;164.34;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1823.44;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1130.8;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;171.81;1130.8;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1584.6;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;186.75;186.75;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2883.47;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2883.47;807.1;1640.31;1584.6;1823.44;1640.31;1640.31;1640.31;1640.31;2883.47;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
250;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1135.2;1823.44;2589.13;1823.44;175;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;173.25;128.66;2893.09;175;1640.31;1640.31;1823.44;1640.31;207.38;1823.44;1823.44;84.93;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;594.67;1823.44;80.63;1135.2;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;216.55;1640.31;187.5;1640.31;177.5;1823.44;1640.31;1823.44;1823.44;206.78;128.66;145;1640.31;1823.44;1640.31;1823.44;1823.44;2893.09;1823.44;2893.09;1640.31;1823.44;1640.31;1590.8;1823.44;1823.44;1823.44;175.88;1640.31;1823.44;1823.44;216.55;127.43;207.38;1823.44;216.55;165;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1823.44;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1135.2;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;172.5;1135.2;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1590.8;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;187.5;187.5;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2893.09;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2893.09;810.2;1640.31;1590.8;1823.44;1640.31;1640.31;1640.31;1640.31;2893.09;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
251;153.26;1701.33;2151.42;1935.95;1935.95;256.62;256.62;2151.42;1830.46;2151.42;156.51;2151.42;1935.95;256.62;256.62;1935.95;1935.95;153.26;2151.42;256.62;2104.8;2151.42;2151.42;2151.42;1935.95;1935.95;1935.95;1830.46;1935.95;2151.42;2151.42;256.62;1935.95;1139.6;2151.42;2597.8;2151.42;175.7;2151.42;1935.95;1830.46;2151.42;1877.1;1935.95;1935.95;1935.95;2151.42;241.62;173.94;156.51;2902.72;175.7;1935.95;1935.95;1996.06;1935.95;208.2;1996.06;2151.42;85.27;2151.42;241.62;2151.42;2151.42;256.62;153.26;2151.42;156.51;1935.95;256.62;2151.42;596.61;2151.42;106.2;1139.6;2151.42;2151.42;1935.95;2151.42;241.62;1935.95;1935.95;2151.42;2151.42;1877.1;1935.95;218.37;1935.95;188.25;1935.95;178.21;1996.06;1877.1;2151.42;2151.42;241.62;156.51;145.58;1935.95;1996.06;1877.1;2151.42;2151.42;2902.72;2151.42;2902.72;1877.1;1996.06;1935.95;1597;2151.42;1996.06;2151.42;176.58;1877.1;2151.42;2151.42;223.39;128.01;208.2;1996.06;256.62;165.66;256.62;256.62;2151.42;2151.42;2151.42;256.62;2151.42;1935.95;2151.42;1877.1;2151.42;1935.95;2151.42;1935.95;241.62;2151.42;2151.42;2151.42;1139.6;1935.95;2151.42;2151.42;1935.95;2151.42;2151.42;1935.95;153.26;241.62;2151.42;1935.95;3051.26;2151.42;1996.06;1935.95;1935.95;2151.42;2151.42;1935.95;2151.42;173.19;1139.6;2151.42;97.74;2151.42;1935.95;2104.8;2151.42;238.45;235.94;1597;2151.42;1996.06;1935.95;2151.42;2151.42;241.62;1877.1;188.25;188.25;2151.42;256.62;2151.42;3202.29;1935.95;2151.42;1935.95;1996.06;2151.42;1935.95;2151.42;2151.42;1877.1;1935.95;2151.42;2902.72;1996.06;2151.42;256.62;1935.95;2151.42;1877.1;2151.42;256.62;2902.72;813.3;1935.95;1597;2151.42;1935.95;1935.95;1935.95;1935.95;2902.72;2151.42;2151.42;1996.06;2151.42;2151.42;2151.42;2151.42
252;153.26;1701.33;2151.42;1935.95;1935.95;256.62;256.62;2151.42;1830.46;2151.42;156.51;2151.42;1935.95;256.62;256.62;1935.95;1935.95;153.26;2151.42;256.62;2113;2151.42;2151.42;2151.42;1935.95;1935.95;1935.95;1830.46;1935.95;2151.42;2151.42;256.62;1935.95;1144;2151.42;2606.48;2151.42;176.4;2151.42;1935.95;1830.46;2151.42;1884.4;1935.95;1935.95;1935.95;2151.42;241.62;174.64;156.51;2912.34;176.4;1935.95;1935.95;1996.06;1935.95;209.03;1996.06;2151.42;85.61;2151.42;241.62;2151.42;2151.42;256.62;153.26;2151.42;156.51;1935.95;256.62;2151.42;598.56;2151.42;106.2;1144;2151.42;2151.42;1935.95;2151.42;241.62;1935.95;1935.95;2151.42;2151.42;1884.4;1935.95;219.24;1935.95;189;1935.95;178.92;1996.06;1884.4;2151.42;2151.42;241.62;156.51;146.16;1935.95;1996.06;1884.4;2151.42;2151.42;2912.34;2151.42;2912.34;1884.4;1996.06;1935.95;1603.2;2151.42;1996.06;2151.42;177.28;1884.4;2151.42;2151.42;224.28;128.52;209.03;1996.06;256.62;166.32;256.62;256.62;2151.42;2151.42;2151.42;256.62;2151.42;1935.95;2151.42;1884.4;2151.42;1935.95;2151.42;1935.95;241.62;2151.42;2151.42;2151.42;1144;1935.95;2151.42;2151.42;1935.95;2151.42;2151.42;1935.95;153.26;241.62;2151.42;1935.95;3051.26;2151.42;1996.06;1935.95;1935.95;2151.42;2151.42;1935.95;2151.42;173.88;1144;2151.42;98.12;2151.42;1935.95;2113;2151.42;239.4;236.88;1603.2;2151.42;1996.06;1935.95;2151.42;2151.42;241.62;1884.4;189;189;2151.42;256.62;2151.42;3202.29;1935.95;2151.42;1935.95;1996.06;2151.42;1935.95;2151.42;2151.42;1884.4;1935.95;2151.42;2912.34;1996.06;2151.42;256.62;1935.95;2151.42;1884.4;2151.42;256.62;2912.34;816.4;1935.95;1603.2;2151.42;1935.95;1935.95;1935.95;1935.95;2912.34;2151.42;2151.42;1996.06;2151.42;2151.42;2151.42;2151.42
253;153.26;1701.33;2151.42;1935.95;1935.95;256.62;256.62;2151.42;1830.46;2151.42;156.51;2151.42;1935.95;256.62;256.62;1935.95;1935.95;153.26;2151.42;256.62;2121.2;2151.42;2151.42;2151.42;1935.95;1935.95;1935.95;1830.46;1935.95;2151.42;2151.42;256.62;1935.95;1148.4;2151.42;2615.16;2151.42;177.1;2151.42;1935.95;1830.46;2151.42;1891.7;1935.95;1935.95;1935.95;2151.42;241.62;175.33;156.51;2921.96;177.1;1935.95;1935.95;1996.06;1935.95;209.86;1996.06;2151.42;85.95;2151.42;241.62;2151.42;2151.42;256.62;153.26;2151.42;156.51;1935.95;256.62;2151.42;600.51;2151.42;106.2;1148.4;2151.42;2151.42;1935.95;2151.42;241.62;1935.95;1935.95;2151.42;2151.42;1891.7;1935.95;220.11;1935.95;189.75;1935.95;179.63;1996.06;1891.7;2151.42;2151.42;241.62;156.51;146.74;1935.95;1996.06;1891.7;2151.42;2151.42;2921.96;2151.42;2921.96;1891.7;1996.06;1935.95;1609.4;2151.42;1996.06;2151.42;177.99;1891.7;2151.42;2151.42;225.17;129.03;209.86;1996.06;256.62;166.98;256.62;256.62;2151.42;2151.42;2151.42;256.62;2151.42;1935.95;2151.42;1891.7;2151.42;1935.95;2151.42;1935.95;241.62;2151.42;2151.42;2151.42;1148.4;1935.95;2151.42;2151.42;1935.95;2151.42;2151.42;1935.95;153.26;241.62;2151.42;1935.95;3051.26;2151.42;1996.06;1935.95;1935.95;2151.42;2151.42;1935.95;2151.42;174.57;1148.4;2151.42;98.49;2151.42;1935.95;2121.2;2151.42;240.35;237.82;1609.4;2151.42;1996.06;1935.95;2151.42;2151.42;241.62;1891.7;189.75;189.75;2151.42;256.62;2151.42;3202.29;1935.95;2151.42;1935.95;1996.06;2151.42;1935.95;2151.42;2151.42;1891.7;1935.95;2151.42;2921.96;1996.06;2151.42;256.62;1935.95;2151.42;1891.7;2151.42;256.62;2921.96;819.5;1935.95;1609.4;2151.42;1935.95;1935.95;1935.95;1935.95;2921.96;2151.42;2151.42;1996.06;2151.42;2151.42;2151.42;2151.42
254;153.26;1701.33;2151.42;1935.95;1935.95;256.62;256.62;2151.42;1830.46;2151.42;156.51;2151.42;1935.95;256.62;256.62;1935.95;1935.95;153.26;2151.42;256.62;2129.4;2151.42;2151.42;2151.42;1935.95;1935.95;1935.95;1830.46;1935.95;2151.42;2151.42;256.62;1935.95;1152.8;2151.42;2623.83;2151.42;177.8;2151.42;1935.95;1830.46;2151.42;1899;1935.95;1935.95;1935.95;2151.42;241.62;176.02;156.51;2931.59;177.8;1935.95;1935.95;1996.06;1935.95;210.69;1996.06;2151.42;86.29;2151.42;241.62;2151.42;2151.42;256.62;153.26;2151.42;156.51;1935.95;256.62;2151.42;602.46;2151.42;106.2;1152.8;2151.42;2151.42;1935.95;2151.42;241.62;1935.95;1935.95;2151.42;2151.42;1899;1935.95;220.98;1935.95;190.5;1935.95;180.34;1996.06;1899;2151.42;2151.42;241.62;156.51;147.32;1935.95;1996.06;1899;2151.42;2151.42;2931.59;2151.42;2931.59;1899;1996.06;1935.95;1615.6;2151.42;1996.06;2151.42;178.69;1899;2151.42;2151.42;226.06;129.54;210.69;1996.06;256.62;167.64;256.62;256.62;2151.42;2151.42;2151.42;256.62;2151.42;1935.95;2151.42;1899;2151.42;1935.95;2151.42;1935.95;241.62;2151.42;2151.42;2151.42;1152.8;1935.95;2151.42;2151.42;1935.95;2151.42;2151.42;1935.95;153.26;241.62;2151.42;1935.95;3051.26;2151.42;1996.06;1935.95;1935.95;2151.42;2151.42;1935.95;2151.42;175.26;1152.8;2151.42;98.87;2151.42;1935.95;2129.4;2151.42;241.3;238.76;1615.6;2151.42;1996.06;1935.95;2151.42;2151.42;241.62;1899;190.5;190.5;2151.42;256.62;2151.42;3202.29;1935.95;2151.42;1935.95;1996.06;2151.42;1935.95;2151.42;2151.42;1899;1935.95;2151.42;2931.59;1996.06;2151.42;256.62;1935.95;2151.42;1899;2151.42;256.62;2931.59;822.6;1935.95;1615.6;2151.42;1935.95;1935.95;1935.95;1935.95;2931.59;2151.42;2151.42;1996.06;2151.42;2151.42;2151.42;2151.42
255;153.26;1701.33;2151.42;1935.95;1935.95;256.62;256.62;2151.42;1830.46;2151.42;156.51;2151.42;1935.95;256.62;256.62;1935.95;1935.95;153.26;2151.42;256.62;2137.6;2151.42;2151.42;2151.42;1935.95;1935.95;1935.95;1830.46;1935.95;2151.42;2151.42;256.62;1935.95;1157.2;2151.42;2632.51;2151.42;178.5;2151.42;1935.95;1830.46;2151.42;1906.3;1935.95;1935.95;1935.95;2151.42;241.62;176.72;156.51;2941.21;178.5;1935.95;1935.95;1996.06;1935.95;211.52;1996.06;2151.42;86.63;2151.42;241.62;2151.42;2151.42;256.62;153.26;2151.42;156.51;1935.95;256.62;2151.42;604.4;2151.42;106.2;1157.2;2151.42;2151.42;1935.95;2151.42;241.62;1935.95;1935.95;2151.42;2151.42;1906.3;1935.95;221.85;1935.95;191.25;1935.95;181.05;1996.06;1906.3;2151.42;2151.42;241.62;156.51;147.9;1935.95;1996.06;1906.3;2151.42;2151.42;2941.21;2151.42;2941.21;1906.3;1996.06;1935.95;1621.8;2151.42;1996.06;2151.42;179.39;1906.3;2151.42;2151.42;226.95;130.05;211.52;1996.06;256.62;168.3;256.62;256.62;2151.42;2151.42;2151.42;256.62;2151.42;1935.95;2151.42;1906.3;2151.42;1935.95;2151.42;1935.95;241.62;2151.42;2151.42;2151.42;1157.2;1935.95;2151.42;2151.42;1935.95;2151.42;2151.42;1935.95;153.26;241.62;2151.42;1935.95;3051.26;2151.42;1996.06;1935.95;1935.95;2151.42;2151.42;1935.95;2151.42;175.95;1157.2;2151.42;99.24;2151.42;1935.95;2137.6;2151.42;242.25;239.7;1621.8;2151.42;1996.06;1935.95;2151.42;2151.42;241.62;1906.3;191.25;191.25;2151.42;256.62;2151.42;3202.29;1935.95;2151.42;1935.95;1996.06;2151.42;1935.95;2151.42;2151.42;1906.3;1935.95;2151.42;2941.21;1996.06;2151.42;256.62;1935.95;2151.42;1906.3;2151.42;256.62;2941.21;825.7;1935.95;1621.8;2151.42;1935.95;1935.95;1935.95;1935.95;2941.21;2151.42;2151.42;1996.06;2151.42;2151.42;2151.42;2151.42
256;153.26;1701.33;2151.42;1935.95;1935.95;256.62;256.62;2151.42;1830.46;2151.42;156.51;2151.42;1935.95;256.62;256.62;1935.95;1935.95;153.26;2151.42;256.62;2145.8;2151.42;2151.42;2151.42;1935.95;1935.95;1935.95;1830.46;1935.95;2151.42;2151.42;256.62;1935.95;1161.6;2151.42;2641.18;2151.42;179.2;2151.42;1935.95;1830.46;2151.42;1913.6;1935.95;1935.95;1935.95;2151.42;241.62;177.41;156.51;2950.84;179.2;1935.95;1935.95;1996.06;1935.95;212.35;1996.06;2151.42;86.97;2151.42;241.62;2151.42;2151.42;256.62;153.26;2151.42;156.51;1935.95;256.62;2151.42;606.35;2151.42;106.2;1161.6;2151.42;2151.42;1935.95;2151.42;241.62;1935.95;1935.95;2151.42;2151.42;1913.6;1935.95;222.72;1935.95;192;1935.95;181.76;1996.06;1913.6;2151.42;2151.42;241.62;156.51;148.48;1935.95;1996.06;1913.6;2151.42;2151.42;2950.84;2151.42;2950.84;1913.6;1996.06;1935.95;1628;2151.42;1996.06;2151.42;180.1;1913.6;2151.42;2151.42;227.84;130.56;212.35;1996.06;256.62;168.96;256.62;256.62;2151.42;2151.42;2151.42;256.62;2151.42;1935.95;2151.42;1913.6;2151.42;1935.95;2151.42;1935.95;241.62;2151.42;2151.42;2151.42;1161.6;1935.95;2151.42;2151.42;1935.95;2151.42;2151.42;1935.95;153.26;241.62;2151.42;1935.95;3051.26;2151.42;1996.06;1935.95;1935.95;2151.42;2151.42;1935.95;2151.42;176.64;1161.6;2151.42;99.62;2151.42;1935.95;2145.8;2151.42;243.2;240.64;1628;2151.42;1996.06;1935.95;2151.42;2151.42;241.62;1913.6;192;192;2151.42;256.62;2151.42;3202.29;1935.95;2151.42;1935.95;1996.06;2151.42;1935.95;2151.42;2151.42;1913.6;1935.95;2151.42;2950.84;1996.06;2151.42;256.62;1935.95;2151.42;1913.6;2151.42;256.62;2950.84;828.8;1935.95;1628;2151.42;1935.95;1935.95;1935.95;1935.95;2950.84;2151.42;2151.42;1996.06;2151.42;2151.42;2151.42;2151.42
